     0.003 D | Testing "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/qtlogging.ini" ...
     0.003 D | Loading logging rules from: "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/qtlogging.ini"
     0.003 D | Setting log rules:
     0.004 D |      "*.debug=true"
     0.004 D |      "launcher.auth.credentials.debug=false"
     0.004 D |      "launcher.task=false"
     0.004 D |      "launcher.task.net=true"
     0.004 D |      "launcher.task.net.download.debug=false"
     0.004 D |      "launcher.task.net.metacache=false"
     0.004 D |      "launcher.task.net.metacache.http=true"
     0.004 D |      "launcher.task.net.upload=true"
     0.004 D |      "qt.*.debug=false"
     0.004 D | <> Log initialized.
     0.004 D | <> No migration needed from "PolyMC"
     0.004 D | <> No migration needed from "MultiMC"
     0.004 D | Defo Not A Prism I Am A Cube, � 2022-2024 Prism Launcher Contributors, � 2021-2022 PolyMC Contributors, � 2012-2021 MultiMC Contributors
     0.004 D | Version                    :  "69.420-develop"
     0.004 D | Platform                   :  "unknown"
     0.004 D | Git commit                 :  "2ee7e37c937a8f828e5b40e9165d1399e2dd9f51"
     0.004 D | Git refspec                :  "refs/heads/develop"
     0.004 D | Compiled for               :  "Windows 10.0.22631 AMD64"
     0.004 D | Compiled by                :  "MSVC - 19.41.34021.0"
     0.004 D | Build Artifact             :  ""
     0.004 D | Updates Enabled           :  No
     0.004 D | Work dir before adjustment :  "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube"
     0.004 D | Work dir after adjustment  :  "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube"
     0.004 D | Adjusted by                :  "Portable data path"
     0.004 D | Binary path                :  "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube"
     0.004 D | Application root path      :  "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube"
     0.004 D | <> Paths set.
     0.015 D | Detected default console font: "Courier New" , substitutions: ""
     0.032 D | <> Settings loaded.
     0.036 D | Detecting proxy settings...
     0.036 D | Using no proxy is an option!
     0.036 D | <> Network done.
     0.037 C | Exception: "Unable to open D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/translations/index_v2.json for reading: The system cannot find the file specified."
     0.037 C | Translations Download Failed: index file not readable
     0.039 W | Selected invalid language "" , defaulting to "en_US"
     0.039 D | Your language is ""
     0.039 D | <> Translations loaded.
     0.042 D | Started watching  "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/icons"
     0.042 D | Sorting icon list...
     0.043 D | <> Instance icons intialized.
     0.043 D | [Theme] <> Initializing Icon Themes
     0.046 D | [Theme] Loaded Built-In Icon Theme "pe_colored"
     0.046 D | [Theme] Loaded Built-In Icon Theme "pe_light"
     0.046 D | [Theme] Loaded Built-In Icon Theme "pe_dark"
     0.046 D | [Theme] Loaded Built-In Icon Theme "pe_blue"
     0.046 D | [Theme] Loaded Built-In Icon Theme "breeze_light"
     0.046 D | [Theme] Loaded Built-In Icon Theme "breeze_dark"
     0.046 D | [Theme] Loaded Built-In Icon Theme "OSX"
     0.046 D | [Theme] Loaded Built-In Icon Theme "iOS"
     0.046 D | [Theme] Loaded Built-In Icon Theme "flat"
     0.047 D | [Theme] Loaded Built-In Icon Theme "flat_white"
     0.047 D | [Theme] Loaded Built-In Icon Theme "multimc"
     0.047 D | [Theme] Icon Theme Folder Path:  "D:/Docs/Code/Random Git Repos/Defo-Not-Prism-I-Am-A-Cube/Output_DefoNotAPrismIAmACube/iconthemes"
     0.047 D | [Theme] <> Icon themes initialized.
     0.047 D | [Theme] Determining System Widget Theme...
     0.047 D | [Theme] System theme seems to be: "windowsvista"
